Date,Hour,Time(MS),Time From Epoch(S),Sound Velocity(cm/s),Distance(CM),Deltatime(S),Temperature(C),Temperature(F),Humidity(%)
Tue Jan 12 13:49:18 2021,13,72948273,1610488158.425839,34180.28,1202.3227788877487,0.07035183906555176,16,60.8,57
Tue Jan 12 13:49:19 2021,13,72956576,1610488159.256166,34180.28,1202.4205694532393,0.0703575611114502,16,60.8,57
Tue Jan 12 13:49:19 2021,13,72962312,1610488159.8298147,34180.28,1202.3024058532715,0.07035064697265625,16,60.8,57
Tue Jan 12 13:49:20 2021,13,72968050,1610488160.4035237,34180.28,1202.4368678808212,0.0703585147857666,16,60.8,57
Tue Jan 12 13:49:20 2021,13,72973786,1610488160.977231,34180.28,1202.3431519222258,0.07035303115844727,16,60.8,57
Tue Jan 12 13:49:21 2021,13,72982137,1610488161.8122888,34180.28,1202.351301136017,0.07035350799560547,16,60.8,57
Tue Jan 12 13:49:22 2021,13,72987874,1610488162.385963,34180.28,1202.5346584463118,0.07036423683166504,16,60.8,57
Tue Jan 12 13:49:22 2021,13,72993611,1610488162.9596508,34180.28,1202.5142854118346,0.07036304473876953,16,60.8,57
Tue Jan 12 13:49:23 2021,13,72999364,1610488163.534939,34180.28,1202.3594503498077,0.07035398483276367,16,60.8,57
Tue Jan 12 13:49:24 2021,13,73007669,1610488164.365441,34181.520000000004,1202.5293872165682,0.07036137580871582,16,60.8,58
Tue Jan 12 13:49:24 2021,13,73013404,1610488164.939018,34181.520000000004,1202.4030698204042,0.07035398483276367,16,60.8,58
Tue Jan 12 13:49:25 2021,13,73019144,1610488165.51295,34181.520000000004,1202.6190318202973,0.07036662101745605,16,60.8,58
Tue Jan 12 13:49:26 2021,13,73024882,1610488166.0867653,34181.520000000004,1202.3663970279695,0.07035183906555176,16,60.8,58
Tue Jan 12 13:49:26 2021,13,73033185,1610488166.9170885,34181.520000000004,1202.3745465373995,0.07035231590270996,16,60.8,58
Tue Jan 12 13:49:27 2021,13,73038921,1610488167.4907143,34181.520000000004,1202.4886396694185,0.0703589916229248,16,60.8,58
Tue Jan 12 13:49:28 2021,13,73044659,1610488168.0644195,34181.520000000004,1202.321574726105,0.07034921646118164,16,60.8,58
Tue Jan 12 13:49:28 2021,13,73050422,1610488168.6407628,34181.520000000004,1202.3378737449648,0.07035017013549805,16,60.8,58
Tue Jan 12 13:49:29 2021,13,73058728,1610488169.471413,34181.520000000004,1202.1545097827914,0.07033944129943848,16,60.8,58
Tue Jan 12 13:49:30 2021,13,73064465,1610488170.0450625,34181.520000000004,1202.443817367554,0.07035636901855469,16,60.8,58
Tue Jan 12 13:49:30 2021,13,73070202,1610488170.618761,34181.520000000004,1202.2849019336702,0.07034707069396973,16,60.8,58
Tue Jan 12 13:49:31 2021,13,73075939,1610488171.1924596,34181.520000000004,1202.5742095184328,0.07036399841308594,16,60.8,58
Tue Jan 12 13:49:32 2021,13,73084288,1610488172.0274045,34181.520000000004,1202.3745465373995,0.07035231590270996,16,60.8,58
Tue Jan 12 13:49:32 2021,13,73090024,1610488172.6009524,34181.520000000004,1202.3908455562594,0.07035326957702637,16,60.8,58
Tue Jan 12 13:49:33 2021,13,73095760,1610488173.174633,34181.520000000004,1202.3460232543946,0.07035064697265625,16,60.8,58
Tue Jan 12 13:49:34 2021,13,73113405,1610488174.9390566,34181.520000000004,1202.427518348694,0.07035541534423828,16,60.8,58
Tue Jan 12 13:49:35 2021,13,73119142,1610488175.5127375,34181.520000000004,1202.30935046196,0.07034850120544434,16,60.8,58
Tue Jan 12 13:49:36 2021,13,73124879,1610488176.0864477,34181.520000000004,1202.2767524242402,0.07034659385681152,16,60.8,58
Tue Jan 12 13:49:36 2021,13,73130616,1610488176.6601458,34181.520000000004,1202.2686029148103,0.07034611701965332,16,60.8,58
Tue Jan 12 13:49:37 2021,13,73138966,1610488177.4952154,34181.520000000004,1202.3541727638246,0.07035112380981445,16,60.8,58
Tue Jan 12 13:49:38 2021,13,73144704,1610488178.0689256,34181.520000000004,1202.4723406505586,0.0703580379486084,16,60.8,58
Tue Jan 12 13:49:38 2021,13,73150441,1610488178.6426573,34181.520000000004,1202.651629858017,0.07036852836608887,16,60.8,58
Tue Jan 12 13:49:39 2021,13,73156179,1610488179.216496,34181.520000000004,1202.313425216675,0.07034873962402344,16,60.8,58
Tue Jan 12 13:49:40 2021,13,73164485,1610488180.047044,34181.520000000004,1202.4845649147035,0.0703587532043457,16,60.8,58
Tue Jan 12 13:49:40 2021,13,73170221,1610488180.6206956,34181.520000000004,1202.5008639335633,0.07035970687866211,16,60.8,58
Tue Jan 12 13:49:41 2021,13,73175958,1610488181.1944087,34181.520000000004,1202.4112193298342,0.07035446166992188,16,60.8,58
Tue Jan 12 13:49:41 2021,13,73181696,1610488181.7681363,34181.520000000004,1202.6027328014375,0.07036566734313965,16,60.8,58
Tue Jan 12 13:49:42 2021,13,73190048,1610488182.6033485,34181.520000000004,1202.4478921222687,0.07035660743713379,16,60.8,58
Tue Jan 12 13:49:43 2021,13,73195784,1610488183.1770148,34181.520000000004,1202.4478921222687,0.07035660743713379,16,60.8,58
Tue Jan 12 13:49:43 2021,13,73201522,1610488183.7507358,34181.520000000004,1202.5701347637178,0.07036375999450684,16,60.8,58
Tue Jan 12 13:49:44 2021,13,73207303,1610488184.3288918,34181.520000000004,1202.557910499573,0.07036304473876953,16,60.8,58
Tue Jan 12 13:49:45 2021,13,73215609,1610488185.1594758,34181.520000000004,1202.4927144241335,0.0703592300415039,16,60.8,58
Tue Jan 12 13:49:45 2021,13,73221345,1610488185.7330618,34181.520000000004,1202.5130881977084,0.07036042213439941,16,60.8,58
Tue Jan 12 13:49:46 2021,13,73227083,1610488186.306914,34181.520000000004,1202.6149570655825,0.07036638259887695,16,60.8,58
Tue Jan 12 13:49:46 2021,13,73232819,1610488186.8804777,34181.520000000004,1202.5008639335633,0.07035970687866211,16,60.8,58
Tue Jan 12 13:49:47 2021,13,73241122,1610488187.7107239,34181.520000000004,1202.6068075561525,0.07036590576171875,16,60.8,58
Tue Jan 12 13:49:48 2021,13,73246858,1610488188.2843874,34181.520000000004,1202.6434803485872,0.07036805152893066,16,60.8,58
Tue Jan 12 13:49:48 2021,13,73252596,1610488188.8581226,34181.520000000004,1202.561985254288,0.07036328315734863,16,60.8,58
Tue Jan 12 13:49:49 2021,13,73258345,1610488189.4330778,34181.520000000004,1202.4641911411286,0.0703575611114502,16,60.8,58
Tue Jan 12 13:49:50 2021,13,73266652,1610488190.2638066,34181.520000000004,1202.5212377071382,0.07036089897155762,16,60.8,58
Tue Jan 12 13:49:50 2021,13,73272389,1610488190.837463,34181.520000000004,1202.4967891788483,0.07035946846008301,16,60.8,58
Tue Jan 12 13:49:51 2021,13,73278126,1610488191.4111793,34181.520000000004,1202.5090134429934,0.07036018371582031,16,60.8,58
Tue Jan 12 13:49:51 2021,13,73283863,1610488191.9849184,34181.520000000004,1202.4927144241335,0.0703592300415039,16,60.8,58
Tue Jan 12 13:49:52 2021,13,73292215,1610488192.8200881,34181.520000000004,1202.439742612839,0.07035613059997559,16,60.8,58
Tue Jan 12 13:49:53 2021,13,73297952,1610488193.3937604,34181.520000000004,1202.4315931034089,0.07035565376281738,16,60.8,58
Tue Jan 12 13:49:53 2021,13,73303689,1610488193.9674444,34181.520000000004,1202.4723406505586,0.0703580379486084,16,60.8,58
Tue Jan 12 13:49:54 2021,13,73309443,1610488194.5428662,34181.520000000004,1202.3867708015443,0.07035303115844727,16,60.8,58
Tue Jan 12 13:49:55 2021,13,73317747,1610488195.3732774,34181.520000000004,1202.5008639335633,0.07035970687866211,16,60.8,58
Tue Jan 12 13:49:55 2021,13,73323483,1610488195.946886,34181.520000000004,1202.4601163864138,0.0703573226928711,16,60.8,58
Tue Jan 12 13:49:56 2021,13,73329222,1610488196.5207298,34181.520000000004,1202.081164197922,0.07033514976501465,16,60.8,58
Tue Jan 12 13:49:57 2021,13,73334959,1610488197.0945,34181.520000000004,1202.6353308391572,0.07036757469177246,16,60.8,58
Tue Jan 12 13:49:57 2021,13,73343308,1610488197.9293997,34181.520000000004,1202.5823590278626,0.07036447525024414,16,60.8,58
Tue Jan 12 13:49:58 2021,13,73349044,1610488198.5029547,34181.520000000004,1202.5742095184328,0.07036399841308594,16,60.8,58
Tue Jan 12 13:49:59 2021,13,73354781,1610488199.0766845,34181.520000000004,1202.5701347637178,0.07036375999450684,16,60.8,58
Tue Jan 12 13:49:59 2021,13,73360543,1610488199.6528332,34181.520000000004,1202.557910499573,0.07036304473876953,16,60.8,58
Tue Jan 12 13:50:00 2021,13,73368848,1610488200.4833863,34181.520000000004,1202.5782842731478,0.07036423683166504,16,60.8,58
Tue Jan 12 13:50:01 2021,13,73374584,1610488201.0569835,34181.520000000004,1202.7494239711764,0.0703742504119873,16,60.8,58
Tue Jan 12 13:50:01 2021,13,73380322,1610488201.6307795,34181.520000000004,1202.6394055938722,0.07036781311035156,16,60.8,58
Tue Jan 12 13:50:02 2021,13,73386059,1610488202.2044992,34181.520000000004,1202.4315931034089,0.07035565376281738,16,60.8,58
Tue Jan 12 13:50:03 2021,13,73394411,1610488203.0397086,34181.520000000004,1202.5701347637178,0.07036375999450684,16,60.8,58
Tue Jan 12 13:50:03 2021,13,73400148,1610488203.613393,34181.520000000004,1202.6679288768769,0.07036948204040527,16,60.8,58
Tue Jan 12 13:50:04 2021,13,73405885,1610488204.1870878,34181.520000000004,1202.557910499573,0.07036304473876953,16,60.8,58
Tue Jan 12 13:50:04 2021,13,73411638,1610488204.7623212,34181.520000000004,1202.5008639335633,0.07035970687866211,16,60.8,58
Tue Jan 12 13:50:05 2021,13,73419942,1610488205.5927753,34182.76,1202.6667340278627,0.07036685943603516,16,60.8,59
Tue Jan 12 13:50:06 2021,13,73425679,1610488206.1664622,34182.76,1202.5404120492935,0.07035946846008301,16,60.8,59
Tue Jan 12 13:50:06 2021,13,73431416,1610488206.7401915,34182.76,1202.7930560064317,0.0703742504119873,16,60.8,59
Tue Jan 12 13:50:07 2021,13,73437153,1610488207.3138585,34182.76,1202.6911834430696,0.07036828994750977,16,60.8,59
